CODIGO,CATEGORIA,SUB CATEGORIA,PROVEDOR,DESCRIPCION
SOLIS S5 10K 2F,INVERSOR,BIFASICO,Exel Solar,"Solis-GR1P10K-S5 Inversor Solis de 10kW a 220V, 3 MPPT, 2 fases, incl. DC Disconnect"
CONEX TIERRA ALUMINEX,ESTRUCTURA,PREFABRICADA,Exel Solar,"NXT-GC-1 Terminal de conexión a tierra para 2 cables, Next Rail"
CLIPS ALUMINEX,ESTRUCTURA,PREFABRICADA,Exel Solar,"NXT-CLIP-5 5 Clips de Plástico para 2 cables, Next-Rail"
CARRETE FOTOVOLTAICO WIRE C.10 762m,CORRIENTE DIRECTA,CABLE,Exel Solar,PV-C10-762M Cable Fotovoltaico negro PV Wire carrete 762 mts 10AWG 2000V
SOLIS S5 124K-HV 3F,INVERSOR,TRIFASICO,Exel Solar,"Solis-124K-HV-5G Inversor Solis de 124kW a 480V, 10 MPPT, 3 fases"
SOLIS S5 8K 2F,INVERSOR,BIFASICO,Exel Solar,"Solis-GR1P8K-S5 Inversor Solis de 8kW a 220V, 3 MPPT, 2 fases, incl. DC Disconnect"
JINKO 555 MONO,PANEL SOLAR,MONOCRISTALINO,Exel Solar,JK-M555M-72HLA4-V Panel Solar Jinko Mono 555w
SOLIS S5 30K-LV 3F,INVERSOR,TRIFASICO,Exel Solar,"Solis-GC30K-S5-LV Inversor Solis 30kW a 220V, 4 MPPT, 3 fases, incl. DC Disconnect"
HUAWEI 6K 2F,INVERSOR,BIFASICO,Exel Solar,"HWI-SUN600-6KTL-L0 LITE Inversor de interconexión monofásico 220 Vac/240 Vac, eficiencia > 98.4%, 2 MPPT + supresor de picos integrado DC/AC +AFCI."
SOLIS 50K-LV 3F,INVERSOR,TRIFASICO,Exel Solar,"Solis-50K-LV-5G Inversor Solis 50kW a 220V, 6 MPPT, 3 fases, incl. DC Disconect"
HUAWEI HBD 6K 2F,INVERSOR,BIFASICO,Exel Solar,"HWI-SUN2000-6KTL-L1 Inversor Hibrido Huawei de 6kW, 2 fases, 2 MPPT, compatible con batería Huawei LUNA de 5kWH, con 10 años de garantía"
HUAWEI HBD 8K 2F,INVERSOR,BIFASICO,Exel Solar,"HWI-SUN2000-8K-LC0 Inversor Hibrido Huawei de 8kW, 2 Fases 240V, 3MPPT, compatible con batería Huawei LUNA de 5kWH, con 10 de garantía."
HUAWEI HBD 3K 2F,INVERSOR,BIFASICO,Exel Solar,"HWI-SUN2000-3KTL-L1 Inversor Hibrido Huawei de 3kW, 2 fases, 2 MPPT, compatible con batería Huawei LUNA de 5kWH, con 10 años de garantía."
